Lien d'une DB de musiques (khinsider),,,,,,,,,Votants,,,,,,,,,,,,,,,,,,,,,,,
"Hésitez pas à rajouter des musiques, et à noter celles déjà dans le gsheet",,,,,,,,,"(1 si vous êtes cap de la reconnaître en blindtest, 0 sinon)",,,,,,,,,,,,,,,,,,,,,,,
"Mettez en priorité les liens de la page web, les liens de l'audio deviennent rapidemment obsolètes mais on peut les récupérer grâce à la page web",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Licence, nb: 315","Jeu, nb: 541","OST, nb: 1294",Noms Valides pr trouver séparé les noms par /,"Lien page web, nb: 192",,Lien audio,Nb de vote,Vote moyenne connais (1)/connais pas (0),UserA,UserB,UserC,UserD,UserE,UserF,UserG,UserH,UserI,UserJ,UserK,UserL,UserM,UserN,UserO,UserP,UserQ,UserR,UserS,UserT,UserU,UserV,UserW,UserX
Blasphemous,Blasphemous 2,Padre de los penitentes,Eviterno,https://downloads.khinsider.com/game-soundtracks/album/blasphemous-2-ost-2023/27.%2520Padre%2520de%2520los%2520Penitentes.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/blasphemous-2-ost-2023/nvppbptz/27.%20Padre%20de%20los%20Penitentes.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Bloodborne,Bloodborne,Hunter's dream,Hub,https://downloads.khinsider.com/game-soundtracks/album/bloodborne-original-soundtrack-2015/03.%2520Hunter%2527s%2520Dream.mp3,,https://nu.vgmtreasurechest.com/soundtracks/bloodborne-original-soundtrack-2015/cdnefrqf/03.%20Hunter%27s%20Dream.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Bloodborne,Bloodborne,Lullaby for Mergo,Mergo's Wet Nurse,https://downloads.khinsider.com/game-soundtracks/album/bloodborne-original-soundtrack-2015/22.%2520Lullaby%2520for%2520Mergo.mp3,,https://nu.vgmtreasurechest.com/soundtracks/bloodborne-original-soundtrack-2015/kzsmknlq/22.%20Lullaby%20for%20Mergo.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Bomb Rush Cyberfunk,Bomb Rush Cyberfunk,I Wanna Kno,,https://downloads.khinsider.com/game-soundtracks/album/bomb-rush-cyberfunk-soundtrack-2023/02.%2520I%2520Wanna%2520Kno.mp3,,,2,0,,,,,,,1,,,,,,,,1,,,,,,,,,
Castlevania,Lords of Shadow,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Clair Obscur: Expedition 33,Clair Obscur: Expedition 33,Alicia,,,,,4,0,,,1,,,,1,,,1,1,,,,,,,,,,,,,
Clair Obscur: Expedition 33,Clair Obscur: Expedition 33,Gestral Village - Gestral Merchant,Gestral Merchant,,,https://www.youtube.com/watch?v=pXHE2MH9vLU,4,0,,,1,,,,1,,,1,,,,1,,,,,,,,,,
Clair Obscur: Expedition 33,Clair Obscur: Expedition 33,Une vie à t'aimer,,,,https://www.youtube.com/watch?v=oEtmFgonY3E,4,0,,,1,,,,1,,,1,,,,1,,,,,,,,,,
Control,Control,Take control,,https://downloads.khinsider.com/game-soundtracks/album/alan-wake-2-old-gods-of-asgard-2023/08%2520-%2520Take%2520Control.mp3,,https://nu.vgmtreasurechest.com/soundtracks/alan-wake-2-old-gods-of-asgard-2023/yhrmjjvx/08%20-%20Take%20Control.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Control,Resonant,Manalan Mailla,,,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Crysis,Crysis 2,Epilogue,,https://downloads.khinsider.com/game-soundtracks/album/crysis-2-ps3-windows-xbox-360-gamerip-2011/92.%2520Epilogue.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/crysis-2-ps3-windows-xbox-360-gamerip-2011/waqbkwcy/92.%20Epilogue.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Dark Souls,Dark Souls 3,Menu theme,,,,https://vgmtreasurechest.com/soundtracks/dark-souls-iii-soundtracks/nszsskym/1-01%20Dark%20Souls%20III.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Dead Cells,Dead Cells,Prisoner's Awakening,,,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Deathloop,Deathloop,Pitch Black,trailer theme,https://downloads.khinsider.com/game-soundtracks/album/deathloop-singles/Pitch%2520Black%2520%2528Original%2520Trailer%2520Soundtrack%2529.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/deathloop-singles/tonybnlo/Pitch%20Black%20%28Original%20Trailer%20Soundtrack%29.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Detroit : Become Human,Detroit : Become Human,Kara main theme,,https://downloads.khinsider.com/game-soundtracks/album/detroit-become-human-original-soundtrack/01.%2520Kara%2520Main%2520Theme.mp3,,https://vgmtreasurechest.com/soundtracks/detroit-become-human-original-soundtrack/udgxrrkz/01.%20Kara%20Main%20Theme.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Dishonored,Dishonored,Honor for all,Ending theme,,,https://vgmtreasurechest.com/soundtracks/dishonored-original-game-soundtrack-2013/seudqvpjzq/12.%20Honor%20for%20All%20-%20End%20Credits.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Divinity,Divinity : Original Sin 2,"Mead, Gold and Blood",,https://downloads.khinsider.com/game-soundtracks/album/divinity-original-sin-ii-original-soundtrack/02.%2520Mead%252C%2520Gold%2520and%2520Blood%2520%2528Ifan%2527s%2520Theme%2529.mp3,,https://vgmtreasurechest.com/soundtracks/divinity-original-sin-ii-original-soundtrack/wddguene/02.%20Mead%2C%20Gold%20and%20Blood%20%28Ifan%27s%20Theme%29.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Ender Magnolia,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Fear and Hunger,Fear and Hunger 2 : Termina,Dark Outside,,https://downloads.khinsider.com/game-soundtracks/album/fear-hunger-2-termina-windows-gamerip-2022/44.%2520Dark%2520Outside.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/fear-hunger-2-termina-windows-gamerip-2022/lwbqbili/44.%20Dark%20Outside.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Final Fantasy,Final Fantasy IV,Red Wings,,https://downloads.khinsider.com/game-soundtracks/album/final-fantasy-iv-world-2018/02.%2520Red%2520Wings.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/final-fantasy-iv-world-2018/neiagbpt/02.%20Red%20Wings.mp3,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Final Fantasy,Final Fantasy IV,The Prelude,,https://downloads.khinsider.com/game-soundtracks/album/final-fantasy-iv-world-2018/01.%2520The%2520Prelude.mp3,,https://lambda.vgmtreasurechest.com/soundtracks/final-fantasy-iv-world-2018/vxamgtce/01.%20The%20Prelude.mp3,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Final Fantasy,Final Fantasy XV,Somnus,,https://downloads.khinsider.com/game-soundtracks/album/drammatica-the-very-best-of-yoko-shimomura/16.%2520Somnus.mp3,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Five Nights at Freddy,FNAF,Chimes ,,,,,3,0,1,1,,,,,1,,,,,,,,,,,,,,,,,
Geometry Dash,Geometry Dash,Main Menu,,,,,3,0,1,1,,,,,1,,,,,,,,,,,,,,,,,
Gran Turismo,GT3 A-spec,Splitstream,(arcade/menu),https://downloads.khinsider.com/game-soundtracks/album/gran-turismo-3-a-spec-original-game-sound-track/07.%2520Slipstream.mp3,,https://vgmtreasurechest.com/soundtracks/gran-turismo-3-a-spec-original-game-sound-track/adolmeji/07.%20Slipstream.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Grand Theft Auto,GTA 5,Welcome to Los Santos,,,,https://lambda.vgmtreasurechest.com/soundtracks/the-best-video-game-music-vol.2/wtchcoqk/06.%20Grand%20Theft%20Auto%20V%20%282013%29%20-%20Welcome%20to%20Los%20Santos%20-%20Main%20Theme.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Gravity Rush,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Grime,Grime,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Guacamelee,Guacamelee,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Guilty Gear,Xrd,Django django,Menu,https://downloads.khinsider.com/game-soundtracks/album/guilty-gear-xrd-sign/3-08.%2520Django%2520django.mp3,,https://nu.vgmtreasurechest.com/soundtracks/guilty-gear-xrd-sign/weiewsbc/3-08.%20Django%20django.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Hollow Knight,Hollow Knight,Cornifer Hum,,,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Hollow Knight,Silksong,Fleatopia,,https://downloads.khinsider.com/game-soundtracks/album/hollow-knight-silksong-2025/47.%2520Fleatopia.mp3,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Hollow Knight,Silksong,Widow,,https://downloads.khinsider.com/game-soundtracks/album/hollow-knight-silksong-2025/15.%2520Widow.mp3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Hotline Miami,Hotline Miami 2,In the face of evil,,https://downloads.khinsider.com/game-soundtracks/album/hotline-miami-2-wrong-number/19.%2520In%2520the%2520Face%2520of%2520Evil.mp3,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Immortals Fenyx Rising,Immortals Fenyx Rising,Heart of the hero,,https://downloads.khinsider.com/game-soundtracks/album/immortals-fenyx-rising-2020/01.%2520Heart%2520of%2520the%2520Hero.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/immortals-fenyx-rising-2020/lpphpbpt/01.%20Heart%20of%20the%20Hero.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Journey,Journey,I was Born for This,,,,https://lambda.vgmtreasurechest.com/soundtracks/journey/ryqmjldh/18%20I%20was%20Born%20for%20This.mp3,2,0,,,1,,,,1,,,,,,,,,,,,,,,,,
Krosmaga,Krosmaga,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
League of Legends,League of Legends,Legends Never Die,,,,,8,0,1,1,,,,1,1,1,,1,1,1,,,,,,,,,,,,
League of Legends,League of Legends,Piercing Light,,,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Mario Kart,Mario Kart 8 Deluxe,Intro,,,,,9,0,1,1,,1,,1,1,1,,,1,1,,,,,,,,,,,1,
Mario Kart,Mario Kart DS,Main Menu,,,,https://audio.jukehost.co.uk/BgcQRq2X2ulEeDz0u21frIgwfDyoLKT4,8,0,1,1,1,,,1,1,1,,,1,1,,,,,,,,,,,,
Mario Party,,,,,,,1,0,,,,,,,,,,,,1,,,,,,,,,,,,
Mario Tennis,,,,,,,1,0,,,,,,,,,,,,1,,,,,,,,,,,,
Metaphor,Metaphor : ReFantazio,Warriors in Valour/Battle Theme,,,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Metroid,Metroid Dread,Quiet Robe,Lower Brinstar,,,,2,0,,,,,,,1,,1,,,,,,,,,,,,,,,
Metroid,Metroid Prime,Magmoor Caverns,,,,,2,0,,,,,,,1,,1,,,,,,,,,,,,,,,
Metroid,Metroid Zero Mission,Kraid's Lair,,,,,2,0,,,,,,,1,,1,,,,,,,,,,,,,,,
Metroid,Metroid Zero Mission,Norfair,,,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Metroid,Super Metroid,Brinstar red soil swampy area,Lower Brinstar,,,,2,0,,,,,,,1,,1,,,,,,,,,,,,,,,
Mina the Hollower,Mina the Hollower,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Minecraft,Minecraft,Aria Math,,,,https://audio.jukehost.co.uk/HSYuARz9AwsuSfhW9MWrNh3QMbAHQwAg,11,0,1,1,1,1,1,1,1,1,1,,1,,,1,,,,,,,,,,
Minecraft,Minecraft,Sweden (Caution & Crisis Remix),,,,https://vgmtreasurechest.com/soundtracks/sweden-caution-crisis-remix-2011/auoxnltndo/01.%20Sweden%20%28Caution%20%26%20Crisis%20Remix%29.mp3,3,0,,,1,,,,1,,,1,,,,,,,,,,,,,,
Mio,Mio,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Nightmare Kart,Nightmare Kart,Main menu,,,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Nintendogs,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Outer Wilds,Outer Wilds Echoes of the eye,The River,,https://downloads.khinsider.com/game-soundtracks/album/outer-wilds-echoes-of-the-eye-the-lost-reels-deluxe-original-game-soundtrack-2022/02.%2520The%2520River.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/outer-wilds-echoes-of-the-eye-the-lost-reels-deluxe-original-game-soundtrack-2022/ezirkbaz/02.%20The%20River.mp3,3,0,,,1,,,,1,,,,,,,1,,,,,,,,,,
Outer Wilds,Outer Wilds Echoes of the eye,Traverlers' encore,,https://downloads.khinsider.com/game-soundtracks/album/outer-wilds-echoes-of-the-eye-the-lost-reels-deluxe-original-game-soundtrack-2022/21.%2520Travelers%2527%2520encore.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/outer-wilds-echoes-of-the-eye-the-lost-reels-deluxe-original-game-soundtrack-2022/juwzipze/21.%20Travelers%27%20encore.mp3,2,0,,,,,,,1,,,,,,,1,,,,,,,,,,
Paper Mario,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Persona,Persona,A lone prayer,,https://downloads.khinsider.com/game-soundtracks/album/persona-1-the-complete-soundtrack/3-009.%2520A%2520Lone%2520Prayer.mp3,,https://nu.vgmtreasurechest.com/soundtracks/persona-1-the-complete-soundtrack/ujioufui/3-009.%20A%20Lone%20Prayer.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Persona,Persona 3,The Voice Someone Calls,,,,,2,0,,,,,,,1,,,,,,,1,,,,,,,,,,
Persona,Persona 5 : The Phantom X,Ambitions and visions,,,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Pokemon,Gen 1,Celadon City (Céladopole),,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/41%2520Celadon%2520City.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Gym Battle,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/28.%2520Battle%2521%2520%2528Gym%2520Leader%2529.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Hurry Along,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/06.%2520Hurry%2520Along.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Lavanville,,,,,9,0,1,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,
Pokemon,Gen 1,Mt Moon (Mont sélénite),,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/32%2520Mt.%2520Moon.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Opening Movie (Red/Blue),,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/01.%2520Opening%2520Movie%2520%2528Red%252C%2520Green%2520%2526%2520Blue%2520Version%2529.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Pkmn Center,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/18%2520Pok%25C3%25A9mon%2520Center.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Pkmn Gym,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/27%2520Pok%25C3%25A9mon%2520Gym.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Rival,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/09.%2520Rival%2520Appears%2521.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Route 1,,,,https://audio.jukehost.co.uk/3fscAMvpTRV4Yy7jOI344TKsyN0vcM4O,7,0,1,1,,,,1,1,1,,1,1,,,,,,,,,,,,,
Pokemon,Gen 1,Route 3,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/30%2520Route%25203.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Title Screen,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/03%2520Title%2520Screen.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Trainer (Boy),,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/23.%2520A%2520Trainer%2520Appears%2520%2528Boy%2520Version%2529.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Trainer Battle,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/12.%2520Victory%2521%2520%2528Trainer%2520Battle%2529.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Victory Road,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-red-green-blue-yellow/50%2520Victory%2520Road.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Pokemon,Gen 1,Wild Pokemon Battle,,,,https://audio.jukehost.co.uk/kHFUUUOgtQozg8JKKMCxX5bChqEQoGbp,7,0,1,1,,,,1,1,1,,1,1,,,,,,,,,,,,,
Pokemon,Gen 5,Wild,,,,,4,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,
Pokemon Donjon Mystère,Mystery Dungeon : Explorers of Sky,Dialga's Fight to the Finish!,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-mystery-dungeon-explorers-of-sky/68.%2520Dialga%2527s%2520Fight%2520to%2520the%2520Finish%2521.mp3,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Pokemon Donjon Mystère,Mystery Dungeon : Explorers of Sky,Don't ever forget,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-mystery-dungeon-explorers-of-sky/70.%2520Don%2527t%2520Ever%2520Forget....mp3,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Pokemon Donjon Mystère,Mystery Dungeon : Explorers of Sky,Temporal Tower,,https://downloads.khinsider.com/game-soundtracks/album/pokemon-mystery-dungeon-explorers-of-sky/64.%2520Temporal%2520Tower.mp3,,,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Portal,Portal 2,Robots FTW,,,,https://jetta.vgmtreasurechest.com/soundtracks/portal-2-soundtrack-songs-to-test-by-collectors-edition/dohvemyd/3-24%20-%20Robots%20FTW.mp3,2,0,,,1,,,,1,,,,,,,,,,,,,,,,,
Professor Layton,The Unwound Future,Theme of the Last Time Travel,,,,https://nu.vgmtreasurechest.com/soundtracks/professor-layton-and-the-unwound-future-hd-android-ios-mobile-gamerip-2020/gkjoswfk/01.%20Theme%20of%20the%20Last%20Time%20Travel.mp3,2,0,,,1,,,,1,,,,,,,,,,,,,,,,,
Ratchet and Clank,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Rogue Legacy,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Sea of Stars,Sea of Stars,"Dance of 1,000 Suns",,https://downloads.khinsider.com/game-soundtracks/album/sea-of-stars-original-soundtrack-2023/1-10.%2520Dance%2520Of%25201%252C000%2520Suns.mp3,,https://jetta.vgmtreasurechest.com/soundtracks/sea-of-stars-original-soundtrack-2023/vapzzafa/1-10.%20Dance%20Of%201%2C000%20Suns.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Sea of Stars,Sea of Stars,Encounter Elite,,,,https://jetta.vgmtreasurechest.com/soundtracks/sea-of-stars-original-soundtrack-2023/lkpxpjci/1-43.%20Encounter%20Elite%21.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Sea of Stars,Sea of Stars,Guardian Gods - Horizons Unbound,,https://downloads.khinsider.com/game-soundtracks/album/sea-of-stars-original-soundtrack-2023/2-34.%2520Guardian%2520Gods%2520-%2520Horizons%2520Unbound.mp3,,https://vgmtreasurechest.com/soundtracks/sea-of-stars-original-soundtrack-2023/jggnvqqf/2-34.%20Guardian%20Gods%20-%20Horizons%20Unbound.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Sea of Stars,Sea of Stars,Overture of Legend - The Beast Awakens,,https://downloads.khinsider.com/game-soundtracks/album/sea-of-stars-original-soundtrack-2023/2-31.%2520Overture%2520Of%2520Legend%2520-%2520The%2520Beast%2520Awakens.mp3,,https://vgmtreasurechest.com/soundtracks/sea-of-stars-original-soundtrack-2023/gnulvvqr/2-31.%20Overture%20Of%20Legend%20-%20The%20Beast%20Awakens.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Sea of Stars,Sea of Stars,Sky Base,,https://downloads.khinsider.com/game-soundtracks/album/sea-of-stars-original-soundtrack-physical-release-2023/2-14.%2520Sky%2520Base.mp3,,https://nu.vgmtreasurechest.com/soundtracks/sea-of-stars-original-soundtrack-physical-release-2023/pywphqho/2-14.%20Sky%20Base.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Shovel Knight,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Shrek,Shrek: Dragon's Tale,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Silent Hill,Silent Hill,Lisa's theme,,,,https://www.youtube.com/watch?v=10z1Y5GW-GQ,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Sonic,Superstars,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Spiritfarer,Spiritfarer,What will you leave behind,,,,https://lambda.vgmtreasurechest.com/soundtracks/spiritfarer-farewell-edition-2022/xaralxctln/47.%20What%20Will%20You%20Leave%20Behind%20%28End%20Titles%29%20%5Bfeat.%20Maude%20Plante-Husaruk%5D.mp3,1,0,,,,,,,1,,,,,,,,,,,,,,,,,
Stellar Blade,Stellar Blade,Dawn,,https://downloads.khinsider.com/game-soundtracks/album/stellar-blade-soundtrack-2024/62.%2520Dawn.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Stellar Blade,Stellar Blade,Raven,,,,https://jetta.vgmtreasurechest.com/soundtracks/stellar-blade-soundtrack-2024/booeejhj/144.%20Raven.mp3,3,0,,,,,,,1,,,1,,,,1,,,,,,,,,,
Stellar Blade,Stellar Blade,Silent Street (Battle),,https://downloads.khinsider.com/game-soundtracks/album/stellar-blade-soundtrack-2024/09.%2520Silent%2520Street%2520%2528Battle%2529.mp3,,,2,0,,,,,,,1,,,1,,,,,,,,,,,,,,
Stellar Blade,Stellar Blade,Wasteland (Reboot Type A),,,,https://jetta.vgmtreasurechest.com/soundtracks/stellar-blade-soundtrack-2024/rpzevppf/47.%20Wasteland%20%28Reboot%20Type%20A%29.mp3,3,0,,,,,,,1,,,1,,,,1,,,,,,,,,,
Stellar Blade,Stellar Blade,Wasteland (Reboot Type B),,,,https://jetta.vgmtreasurechest.com/soundtracks/stellar-blade-soundtrack-2024/flpoboog/48.%20Wasteland%20%28Reboot%20Type%20B%29.mp3,3,0,,,,,,,1,,,1,,,,1,,,,,,,,,,
Stellar Blade,Stellar Blade,Wasteland (Type B),,,,https://jetta.vgmtreasurechest.com/soundtracks/stellar-blade-soundtrack-2024/wvnddgwo/44.%20Wasteland%20%28Type%20B%29.mp3,3,0,,,,,,,1,,,1,,,,1,,,,,,,,,,
